I SGx1 SGy1 SGx2 EB1 CHROM_X CHROM_Y ALPHA0 ALPHA1 ETA1
 1.000000000000000 0.0000000000000000E+000 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -20.93762132477877  2.660812312458550 0.6628311257148501E-002 0.2183084326135918  1.067550233022512
 2.000000000000000 0.1000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -20.32787517720102  2.596717146676878 0.6628311257148501E-002 0.2093455779245062  1.058587378333426
 3.000000000000000 0.2000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -19.71812898088687  2.532621975768635 0.6628311257148501E-002 0.2003827225190342  1.049624522927954
 4.000000000000000 0.3000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -19.10838263867741  2.468526789599323 0.6628311257148501E-002 0.1914198649688817  1.040661665377802
 5.000000000000000 0.4000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -18.49863645286855  2.404431619814327 0.6628311257148501E-002 0.1824570097177996  1.031698810126720
 6.000000000000000 0.5000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -17.88889025746467  2.340336449023150 0.6628311257148501E-002 0.1734941543256759  1.022735954734596
 7.000000000000000 0.6000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -17.27914405719853  2.276241277710795 0.6628311257148501E-002 0.1645312988620921  1.013773099271012
 8.000000000000000 0.7000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -16.66939785810185  2.212146106530937 0.6628311257148501E-002 0.1555684434156854  1.004810243824606
 9.000000000000000 0.8000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -16.05965165292766  2.148050934713983 0.6628311257148501E-002 0.1466055878799419 0.9958473882888621
 10.00000000000000 0.9000000000000001E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -15.44990546589682  2.083955764803105 0.6628311257148501E-002 0.1376427326108949 0.9868845330198150
 11.00000000000000 0.1000000000000000E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -14.84015925170506  2.019860592037428 0.6628311257148501E-002 0.1286798769426006 0.9779216773515207
 12.00000000000000 0.1100000000000000E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -14.23041303555566  1.955765419067753 0.6628311257148501E-002 0.1197170212455267 0.9689588216544469
 13.00000000000000 0.1200000000000000E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -13.62066680780440  1.891670244876133 0.6628311257148501E-002 0.1107541653779161 0.9599959657868362
 14.00000000000000 0.1300000000000000E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -13.01092060013689  1.827575072796640 0.6628311257148501E-002 0.1017913098055210 0.9510331102144411
 15.00000000000000 0.1400000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -12.40117439123958  1.763479900588063 0.6628311257148501E-002 0.9282845421505075E-001 0.9420702546239710
 16.00000000000000 0.1500000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -11.79142818254299  1.699384728400379 0.6628311257148501E-002 0.8386559862753128E-001 0.9331073990364515
 17.00000000000000 0.1600000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -11.18168197314812  1.635289556139204 0.6628311257148501E-002 0.7490274302974509E-001 0.9241445434386653
 18.00000000000000 0.1700000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -10.57193576357543  1.571194383859759 0.6628311257148501E-002 0.6593988742934703E-001 0.9151816878382673
 19.00000000000000 0.1800000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -9.962189554275611  1.507099211608657 0.6628311257148501E-002 0.5697703183295893E-001 0.9062188322418792
 20.00000000000000 0.1900000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -9.352443344763804  1.443004039334884 0.6628311257148501E-002 0.4801417623345507E-001 0.8972559766423752
 21.00000000000000 0.2000000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -8.742697167150707  1.378908870415037 0.6628311257148501E-002 0.3905132110284104E-001 0.8882931215117612
 22.00000000000000 0.2100000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -8.132950880251599  1.314813689999163 0.6628311257148501E-002 0.3008846436580761E-001 0.8793302647747278
 23.00000000000000 0.2200000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -7.523204674887690  1.250718518161678 0.6628311257148501E-002 0.2112560882727666E-001 0.8703674092361968
 24.00000000000000 0.2300000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -6.913458469074919  1.186623346277049 0.6628311257148501E-002 0.1216275328214605E-001 0.8614045536910662
 25.00000000000000 0.2400000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -6.303712262869303  1.122528174351176 0.6628311257148501E-002 0.3199897731240462E-002 0.8524416981401606
 26.00000000000000 0.2500000000000002E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -5.693966056332954  1.058433002390659 0.6628311257148501E-002 -.5762957824526109E-002 0.8434788425843940
 27.00000000000000 0.2600000000000002E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -5.084219854233369 0.9943378308974586 0.6628311257148501E-002 -.1472581331507579E-001 0.8345159870938443
