I CONS(MU) CONS(NBAR(1)) CONS(NBAR(2)) CONS(NBAR(3)) quadKx quadKy quadKz
 1.000000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.3632623782760853E-001 0.3734434020340540E-001 0.5661810417187507E-002
 2.000000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.3478425797334713E-001 0.3721178375979686E-001 0.5928807374951755E-002
 3.000000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.3324227811911621E-001 0.3707922731487623E-001 0.6195805124150646E-002
 4.000000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.3170029826468367E-001 0.3694667087152576E-001 0.6462802814214750E-002
 5.000000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.3015831841040068E-001 0.3681411442765946E-001 0.6729800530651054E-002
 6.000000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.2861633855609018E-001 0.3668155798447473E-001 0.6996798355611171E-002
 7.000000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.2707435870176635E-001 0.3654900154081066E-001 0.7263796288247490E-002
 8.000000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.2553237884755178E-001 0.3641644509584577E-001 0.7530794148092059E-002
 9.000000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.2399039899322010E-001 0.3628388865221108E-001 0.7797791589536234E-002
 10.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.2244841913899315E-001 0.3615133220832199E-001 0.8064789489512593E-002
 11.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.2090643928442749E-001 0.3601877576576794E-001 0.8331787168633024E-002
 12.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.1936445943007688E-001 0.3588621932131341E-001 0.8598784682200256E-002
 13.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.1782247957575333E-001 0.3575366287712760E-001 0.8865782399197169E-002
 14.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.1628049972170026E-001 0.3562110643429148E-001 0.9132779984019792E-002
 15.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.1473851986696225E-001 0.3548854998926541E-001 0.9399777779189702E-002
 16.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.1319654001265090E-001 0.3535599354626617E-001 0.9666775536092314E-002
 17.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.1165456015851239E-001 0.3522343710280388E-001 0.9933773152262265E-002
 18.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.1011258030486633E-001 0.3509088065923952E-001 0.1020077030292297E-001
 19.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.8570600450107236E-002 0.3495832421526740E-001 0.1046776820868694E-001
 20.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.7028620595837345E-002 0.3482576777140071E-001 0.1073476619863917E-001
 21.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.5486640741558250E-002 0.3469321132743444E-001 0.1100176394221348E-001
 22.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.3944660887214423E-002 0.3456065488246769E-001 0.1126876200606516E-001
 23.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.2402681032939470E-002 0.3442809843918500E-001 0.1153575986633677E-001
 24.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 -.8607011792727102E-003 0.3429554199557265E-001 0.1180275709641858E-001
 25.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 0.6812786750710247E-003 0.3416298555238578E-001 0.1206975483607296E-001
 26.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 0.2223258530062361E-002 0.3403042910950586E-001 0.1233675251488480E-001
 27.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 0.3765238383778203E-002 0.3389787266382435E-001 0.1260375020578570E-001
 28.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 0.5307218239174038E-002 0.3376531622039383E-001 0.1287074792833941E-001
 29.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 0.6849198092403117E-002 0.3363275977701762E-001 0.1313774555723268E-001
 30.00000000000000 0.1389451499340912E-004 0.0000000000000000E+000 -.9999999999999979 0.6131746549398187E-007 0.8391177947901736E-002 0.3350020333368400E-001 0.1340474310241505E-001
