I CONS(MU) CONS(NBAR(1)) CONS(NBAR(2)) CONS(NBAR(3)) quadKx quadKy quadKz
 1.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.3880231156392330E-001 -.2194993823831393E-001 0.5198368256664421E-002
 2.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.3720680959737691E-001 -.2208976045809197E-001 0.5479116292825022E-002
 3.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.3561130750307509E-001 -.2222958268976305E-001 0.5759864215701157E-002
 4.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.3401580501527504E-001 -.2236940495602176E-001 0.6040612242233749E-002
 5.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.3242030294891022E-001 -.2250922718522622E-001 0.6321360194871489E-002
 6.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.3082480086849049E-001 -.2264904941552487E-001 0.6602107960296013E-002
 7.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.2922929876381148E-001 -.2278887164743786E-001 0.6882855991201842E-002
 8.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.2763379665206575E-001 -.2292869388141355E-001 0.7163603764728356E-002
 9.000000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.2603829454502697E-001 -.2306851611413965E-001 0.7444352044537013E-002
 10.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.2444279246843403E-001 -.2320833834586567E-001 0.7725100029061195E-002
 11.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.2284729033406769E-001 -.2334816057986020E-001 0.8005848161537829E-002
 12.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.2125178818806499E-001 -.2348798281626779E-001 0.8286596271864113E-002
 13.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1965628600454662E-001 -.2362780505555596E-001 0.8567343603055106E-002
 14.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1806078388762275E-001 -.2376762728858338E-001 0.8848091737987179E-002
 15.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1646528175421033E-001 -.2390744952323531E-001 0.9128840807729778E-002
 16.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1486977962820761E-001 -.2404727175845377E-001 0.9409588486187207E-002
 17.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1327427750521677E-001 -.2418709399232733E-001 0.9690337156371416E-002
 18.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1167877537633328E-001 -.2432691622697545E-001 0.9971084470519632E-002
 19.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.1008327324715162E-001 -.2446673846051813E-001 0.1025183237877124E-001
 20.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.8487771118888753E-002 -.2460656069567900E-001 0.1053257985896241E-001
 21.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.6892269074119513E-002 -.2474638292300380E-001 0.1081332726978734E-001
 22.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.5296766738766847E-002 -.2488620517620659E-001 0.1109407493536598E-001
 23.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.3701264624842496E-002 -.2502602740855613E-001 0.1137482245272552E-001
 24.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.2105762502170128E-002 -.2516584964323447E-001 0.1165557002664341E-001
 25.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 -.5102603850552398E-003 -.2530567187748480E-001 0.1193631872490447E-001
 26.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.1085241738624991E-002 -.2544549411152586E-001 0.1221706656568042E-001
 27.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.2680743844732417E-002 -.2558531634400832E-001 0.1249781427235046E-001
 28.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.4276245969894375E-002 -.2572513857904462E-001 0.1277856340548546E-001
 29.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.5871748096787038E-002 -.2586496081415778E-001 0.1305931127863627E-001
 30.00000000000000 0.1377105479011732E-004 0.0000000000000000E+000 -.9999999999999986 0.4908027723127262E-007 0.7467250218187681E-002 -.2600478304703418E-001 0.1334005914317985E-001
