I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 -.3640037997552783E-007 -.1459350292820887E-006 -.9181625299461484E-006
 2.000000000000000 -.3484250892195693E-007 -.1396399802705619E-006 -.8776266336758504E-006
 3.000000000000000 -.3328574457872607E-007 -.1333537849416418E-006 -.8372290761951236E-006
 4.000000000000000 -.3173008694567938E-007 -.1270764432950015E-006 -.7969698575075984E-006
 5.000000000000000 -.3017553602319296E-007 -.1208079553322384E-006 -.7568489776250419E-006
 6.000000000000000 -.2862209181112618E-007 -.1145483210529478E-006 -.7168664365477623E-006
 7.000000000000000 -.2706975430939096E-007 -.1082975404563672E-006 -.6770222342633218E-006
 8.000000000000000 -.2551852351819228E-007 -.1020556135436301E-006 -.6373163707848579E-006
 9.000000000000000 -.2396839943727773E-007 -.9582254031363515E-007 -.5977488461036410E-006
 10.00000000000000 -.2241938206680146E-007 -.8959832076673994E-007 -.5583196602169048E-006
 11.00000000000000 -.2087147140644330E-007 -.8338295490213129E-007 -.5190288131286015E-006
 12.00000000000000 -.1932466745667758E-007 -.7717644272140670E-007 -.4798763048429205E-006
 13.00000000000000 -.1777897021734846E-007 -.7097878422407150E-007 -.4408621353591994E-006
 14.00000000000000 -.1623437968870156E-007 -.6478997941109978E-007 -.4019863046835048E-006
 15.00000000000000 -.1469089586972385E-007 -.5861002827823943E-007 -.3632488127852400E-006
 16.00000000000000 -.1314851876159777E-007 -.5243893083047779E-007 -.3246496597006429E-006
 17.00000000000000 -.1160724836404889E-007 -.4627668706664255E-007 -.2861888454209161E-006
 18.00000000000000 -.1006708467735165E-007 -.4012329698763836E-007 -.2478663699481992E-006
 19.00000000000000 -.8528027699949197E-008 -.3397876058745805E-007 -.2096822332488313E-006
 20.00000000000000 -.6990077433459370E-008 -.2784307787262209E-007 -.1716364353646421E-006
 21.00000000000000 -.5453233877353617E-008 -.2171624884090277E-007 -.1337289762794872E-006
 22.00000000000000 -.3917497031554013E-008 -.1559827349186302E-007 -.9595985598864518E-007
 23.00000000000000 -.2382866896235046E-008 -.9489151826429511E-008 -.5832907450156394E-007
 24.00000000000000 -.8493434719286517E-009 -.3388883846640193E-008 -.2083663182985118E-007
 25.00000000000000 0.6830732426679054E-009 0.2702530452771784E-008 0.1651747206054552E-007
 26.00000000000000 0.2214383247517356E-008 0.8785091071594661E-008 0.5373323716750011E-007
 27.00000000000000 0.3744586540669831E-008 0.1485879800195103E-007 0.9081066343997546E-007
 28.00000000000000 0.5273683125152625E-008 0.2092365125622452E-007 0.1277497509606589E-006
 29.00000000000000 0.6801672997042282E-008 0.2697965081842991E-007 0.1645504996240085E-006
 30.00000000000000 0.8328556160797584E-008 0.3302679670646671E-007 0.2012129095433996E-006
