I SGx1 SGy1 SGx2 EB1 CHROM_X CHROM_Y ALPHA0 ALPHA1 ETA1
 1.000000000000000 0.0000000000000000E+000 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -20.87566559805300  2.211499716196982 0.6449041532277303E-002 0.2118047121365944  1.061183512430175
 2.000000000000000 0.1000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -20.28253117665358  2.149170326754688 0.6449041532277303E-002 0.2031818489457238  1.052560649239305
 3.000000000000000 0.2000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -19.68939675525417  2.086840937312378 0.6449041532277303E-002 0.1945589857548521  1.043937786048433
 4.000000000000000 0.3000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -19.09626233385473  2.024511547870082 0.6449041532277303E-002 0.1859361225639803  1.035314922857561
 5.000000000000000 0.4000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -18.50312791245529  1.962182158427785 0.6449041532277303E-002 0.1773132593731112  1.026692059666692
 6.000000000000000 0.5000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -17.90999349105590  1.899852768985471 0.6449041532277303E-002 0.1686903961822395  1.018069196475820
 7.000000000000000 0.6000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -17.31685906965645  1.837523379543191 0.6449041532277303E-002 0.1600675329913681  1.009446333284949
 8.000000000000000 0.7000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -16.72372464825698  1.775193990100872 0.6449041532277303E-002 0.1514446698004968  1.000823470094077
 9.000000000000000 0.8000000000000000E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -16.13059022685756  1.712864600658578 0.6449041532277303E-002 0.1428218066096258 0.9922006069032066
 10.00000000000000 0.9000000000000001E-002 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -15.53745580545813  1.650535211216274 0.6449041532277303E-002 0.1341989434187540 0.9835777437123349
 11.00000000000000 0.1000000000000000E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -14.94432138405871  1.588205821773976 0.6449041532277303E-002 0.1255760802278846 0.9749548805214654
 12.00000000000000 0.1100000000000000E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -14.35118696265928  1.525876432331690 0.6449041532277303E-002 0.1169532170370121 0.9663320173305929
 13.00000000000000 0.1200000000000000E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -13.75805254125984  1.463547042889382 0.6449041532277303E-002 0.1083303538461419 0.9577091541397227
 14.00000000000000 0.1300000000000000E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -13.16491811986043  1.401217653447075 0.6449041532277303E-002 0.9970749065526975E-001 0.9490862909488506
 15.00000000000000 0.1400000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -12.57178369846096  1.338888264004788 0.6449041532277303E-002 0.9108462746439876E-001 0.9404634277579795
 16.00000000000000 0.1500000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -11.97864927706154  1.276558874562474 0.6449041532277303E-002 0.8246176427352854E-001 0.9318405645671093
 17.00000000000000 0.1600000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -11.38551485566209  1.214229485120175 0.6449041532277303E-002 0.7383890108265717E-001 0.9232177013762379
 18.00000000000000 0.1700000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -10.79238043426267  1.151900095677879 0.6449041532277303E-002 0.6521603789178695E-001 0.9145948381853678
 19.00000000000000 0.1800000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -10.19924601286324  1.089570706235581 0.6449041532277303E-002 0.5659317470091331E-001 0.9059719749944941
 20.00000000000000 0.1900000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -9.606111591463780  1.027241316793282 0.6449041532277303E-002 0.4797031151004270E-001 0.8973491118036235
 21.00000000000000 0.2000000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -9.012977170064346 0.9649119273509845 0.6449041532277303E-002 0.3934744831917172E-001 0.8887262486127525
 22.00000000000000 0.2100000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -8.419842748664921 0.9025825379086700 0.6449041532277303E-002 0.3072458512830113E-001 0.8801033854218819
 23.00000000000000 0.2200000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -7.826708327265496 0.8402531484663814 0.6449041532277303E-002 0.2210172193743014E-001 0.8714805222310109
 24.00000000000000 0.2300000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -7.233573905866057 0.7779237590240843 0.6449041532277303E-002 0.1347885874655840E-001 0.8628576590401392
 25.00000000000000 0.2400000000000001E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -6.640439484466622 0.7155943695817865 0.6449041532277303E-002 0.4855995555687796E-002 0.8542347958492686
 26.00000000000000 0.2500000000000002E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -6.047305063067179 0.6532649801394905 0.6449041532277303E-002 -.3766867635184330E-002 0.8456119326583964
 27.00000000000000 0.2600000000000002E-001 -.5458494419716226E-001 0.0000000000000000E+000  132.6850000000000 -5.454170641667745 0.5909355906971858 0.6449041532277303E-002 -.1238973082605455E-001 0.8369890694675263
