I CONS(MU) SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 0.1612785556808832 0.1360470236466682E-008 0.5440127209821455E-008 0.1223634030211862E-007
 2.000000000000000 0.1612785556808832 0.1032848861992619E-008 0.4127006153487045E-008 0.9275888196436100E-008
 3.000000000000000 0.1612785556808832 0.7057107676011753E-009 0.2817751670880497E-008 0.6328485707696174E-008
 4.000000000000000 0.1612785556808832 0.3790559532923510E-009 0.1512363623223933E-008 0.3394132613854239E-008
 5.000000000000000 0.1612785556808832 0.5288453008844840E-010 0.2108422603175342E-009 0.4728294977773828E-009
 6.000000000000000 0.1612785556808832 -.2728036130328348E-009 -.1086812501105427E-008 -.2435423945845727E-008
 7.000000000000000 0.1612785556808832 -.5980083928047719E-009 -.2380600744311678E-008 -.5330627717015091E-008
 8.000000000000000 0.1612785556808832 -.9227298647385140E-009 -.3670522358278916E-008 -.8212781787975132E-008
 9.000000000000000 0.1612785556808832 -.1246968028834061E-008 -.4956577426273867E-008 -.1108188618648143E-007
 10.00000000000000 0.1612785556808832 -.1570722857335838E-008 -.6238765892785381E-008 -.1393794085702282E-007
