I ETA1 quadKx quadKy quadKz
 1.000000000000000  1.064054067149342 0.7292701530178788E-002 0.2216677769336937E-001 -.2123793483733330E-001
 2.000000000000000  1.004425632415169 0.3732487915071364E-002 0.2293472734156869E-001 -.1916739161510763E-001
 3.000000000000000 0.9447971961639994 0.1722742094379861E-003 0.2370267701201377E-001 -.1709684875338684E-001
 4.000000000000000 0.8851687543832004 -.3387939826554903E-002 0.2447062675579892E-001 -.1502630568863892E-001
 5.000000000000000 0.8255403183786565 -.6948153517583020E-002 0.2523857642510433E-001 -.1295576269732944E-001
 6.000000000000000 0.7659118820388261 -.1050836722861148E-001 0.2600652609799740E-001 -.1088521992932792E-001
 7.000000000000000 0.7062834455078842 -.1406858095113612E-001 0.2677447577428392E-001 -.8814677090198607E-002
 8.000000000000000 0.6466550089315407 -.1762879467631584E-001 0.2754242544923545E-001 -.6744134177088717E-002
 9.000000000000000 0.5870265721346051 -.2118900841466774E-001 0.2831037512729296E-001 -.4673591251873394E-002
 10.00000000000000 0.5273981359536555 -.2474922211606549E-001 0.2907832479796719E-001 -.2603048389948517E-002
