I SGx1 SGy1 EB1 CHROM_X CHROM_Y ALPHA0 ALPHA1
 1.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  99.04000000000001 -16.87758865394983 -16.65194704002276 0.2358056171822320E-001 0.2124636388831309
 2.000000000000000 0.1000000000000000E-002 0.0000000000000000E+000  99.04000000000001 -12.87884555944811 -17.43246854898281 0.2358056171822320E-001 0.1528352041489576
 3.000000000000000 0.2000000000000000E-002 0.0000000000000000E+000  99.04000000000001 -8.880102363187467 -18.21299008034420 0.2358056171822320E-001 0.9320676789778810E-001
 4.000000000000000 0.3000000000000000E-002 0.0000000000000000E+000  99.04000000000001 -4.881358796079860 -18.99351168655892 0.2358056171822320E-001 0.3357832611698914E-001
 5.000000000000000 0.4000000000000000E-002 0.0000000000000000E+000  99.04000000000001 -.8826156163368207 -19.77403321691695 0.2358056171822320E-001 -.2605010988755483E-001
 6.000000000000000 0.5000000000000000E-002 0.0000000000000000E+000  99.04000000000001  3.116127585883228 -20.55455475091982 0.2358056171822320E-001 -.8567854622738522E-001
 7.000000000000000 0.6000000000000000E-002 0.0000000000000000E+000  99.04000000000001  7.114870800929014 -21.33507628815245 0.2358056171822320E-001 -.1453069827583271
 8.000000000000000 0.7000000000000000E-002 0.0000000000000000E+000  99.04000000000001  11.11361401900029 -22.11559782428145 0.2358056171822320E-001 -.2049354193346706
 9.000000000000000 0.8000000000000000E-002 0.0000000000000000E+000  99.04000000000001  15.11235725186736 -22.89611936354469 0.2358056171822320E-001 -.2645638561316063
 10.00000000000000 0.9000000000000001E-002 0.0000000000000000E+000  99.04000000000001  19.11110044343278 -23.67664089548991 0.2358056171822320E-001 -.3241922923125558
