I ETA1 quadKx quadKy quadKz
 1.000000000000000 0.9481320298733649 0.1360908673429290E-002 0.3284733042069437E-002 0.7606336070282669E-002
 2.000000000000000 0.9194264610687146 0.1033946139434608E-002 0.3350775737826913E-002 0.7515521336697348E-002
 3.000000000000000 0.8907208915340197 0.7069835971193348E-003 0.3416818435480589E-002 0.7424706600800965E-002
 4.000000000000000 0.8620153193375431 0.3800210244808421E-003 0.3482861139468179E-002 0.7333891856486445E-002
 5.000000000000000 0.8333097499217712 0.5305848351750177E-004 0.3548903837037408E-002 0.7243077096363429E-002
 6.000000000000000 0.8046041803445199 -.2739040592870272E-003 0.3614946534914436E-002 0.7152262333285361E-002
 7.000000000000000 0.7758986106753495 -.6008666031387590E-003 0.3680989233064760E-002 0.7061447654712464E-002
 8.000000000000000 0.7471930409841523 -.9278291472391646E-003 0.3747031931121359E-002 0.6970632933672893E-002
 9.000000000000000 0.7184874711867824 -.1254791692544343E-002 0.3813074629443394E-002 0.6879818175500944E-002
 10.00000000000000 0.6897819016860193 -.1581754234477953E-002 0.3879117327147327E-002 0.6789003439713605E-002
