I CONS(MU) SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 0.1765986148899619E-003 0.7291227331423199E-008 0.2915893998397265E-007 0.6559422021846129E-007
 2.000000000000000 0.1765986148899619E-003 0.3729369623908145E-008 0.1490493278417395E-007 0.3350790718709747E-007
 3.000000000000000 0.1765986148899619E-003 0.1720324408914422E-009 0.6870901423771530E-009 0.1543649946257088E-008
 4.000000000000000 0.1765986148899619E-003 -.3380784456530860E-008 -.1349458889296777E-007 -.3029855363598081E-007
 5.000000000000000 0.1765986148899619E-003 -.6929080394418689E-008 -.2764010163184682E-007 -.6201869752001381E-007
 6.000000000000000 0.1765986148899619E-003 -.1047285573714529E-007 -.4174944952931351E-007 -.9361678497438620E-007
 7.000000000000000 0.1765986148899619E-003 -.1401211047611837E-007 -.5582263255118837E-007 -.1250928159219028E-006
 8.000000000000000 0.1765986148899619E-003 -.1754684460258298E-007 -.6985965066231615E-007 -.1564467902837150E-006
 9.000000000000000 0.1765986148899619E-003 -.2107705812697458E-007 -.8386050390397784E-007 -.1876787081518173E-006
 10.00000000000000 0.1765986148899619E-003 -.2460275099960959E-007 -.9782519207949918E-007 -.2187885690876500E-006
