I SGx1 SGy1 EB1 CHROM_X CHROM_Y ALPHA0 ALPHA1
 1.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000  99.04000000000001 -16.87841708058637 -16.56218264166625 0.2357676298015794E-001 0.2122540092418363
 2.000000000000000 0.0000000000000000E+000 -.1000000000000000E-002  99.04000000000001 -17.44288968871395 -14.04171642985973 0.2357676298015794E-001 0.2201342872705672
 3.000000000000000 0.0000000000000000E+000 -.2000000000000000E-002  99.04000000000001 -18.00736231383096 -11.52125015030388 0.2357676298015795E-001 0.2280145655347124
 4.000000000000000 0.0000000000000000E+000 -.3000000000000000E-002  99.04000000000001 -18.57183499380871 -9.000783633395939 0.2357676298015794E-001 0.2358948445632817
 5.000000000000000 0.0000000000000000E+000 -.4000000000000000E-002  99.04000000000001 -19.13630761885836 -6.480317360980612 0.2357676298015794E-001 0.2437751228251898
 6.000000000000000 0.0000000000000000E+000 -.5000000000000000E-002  99.04000000000001 -19.70078024631715 -3.959851075472587 0.2357676298015794E-001 0.2516554011212088
 7.000000000000000 0.0000000000000000E+000 -.6000000000000000E-002  99.04000000000001 -20.26525287634987 -1.439384780912365 0.2357676298015795E-001 0.2595356794525397
 8.000000000000000 0.0000000000000000E+000 -.7000000000000000E-002  99.04000000000001 -20.82972550505400  1.081081513174802 0.2357676298015795E-001 0.2674159577665486
 9.000000000000000 0.0000000000000000E+000 -.8000000000000000E-002  99.04000000000001 -21.39419813610066  3.601547816939109 0.2357676298015795E-001 0.2752962361130913
 10.00000000000000 0.0000000000000000E+000 -.9000000000000001E-002  99.04000000000001 -21.95867076207690  6.122014095769925 0.2357676298015794E-001 0.2831765143884115
