# number of rays:      31
# iteration   EID   ray    X              A              Y              B              T              D
         1     1     20  0.0000000E+00  0.0000000E+00  0.3237447E-03 -0.8693063E-04 -0.1568575E-09  0.0000000E+00
         1     1     21  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1398082E-05  0.3333333E-04
         1     1     22  0.5716913E-03  0.1477034E-03  0.0000000E+00  0.0000000E+00 -0.4459080E-09  0.0000000E+00
         1     1     23  0.0000000E+00  0.0000000E+00  0.5395745E-03 -0.1448844E-03 -0.4357152E-09  0.0000000E+00
         1     1     24  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2330093E-05  0.5555556E-04
         1     1     25  0.8003678E-03  0.2067847E-03  0.0000000E+00  0.0000000E+00 -0.8739796E-09  0.0000000E+00
         1     1     26  0.0000000E+00  0.0000000E+00  0.7554043E-03 -0.2028381E-03 -0.8540017E-09  0.0000000E+00
         1     1     27  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3262069E-05  0.7777778E-04
         1     1     28  0.1029044E-02  0.2658661E-03  0.0000000E+00  0.0000000E+00 -0.1444742E-08  0.0000000E+00
         1     1     29  0.0000000E+00  0.0000000E+00  0.9712342E-03 -0.2607919E-03 -0.1411717E-08  0.0000000E+00
         1     1     30  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.4194010E-05  0.1000000E-03

         1     2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     2      1 -0.1117864E-02 -0.5471760E-03  0.0000000E+00  0.0000000E+00 -0.1196528E-07  0.0000000E+00
         1     2      2  0.0000000E+00  0.0000000E+00 -0.8865916E-03  0.5065800E-03 -0.1090821E-07  0.0000000E+00
         1     2      3  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.8389437E-05 -0.1000000E-03
         1     2      4 -0.8694502E-03 -0.4255813E-03  0.0000000E+00  0.0000000E+00 -0.7238256E-08  0.0000000E+00
         1     2      5  0.0000000E+00  0.0000000E+00 -0.6895712E-03  0.3940067E-03 -0.6598795E-08  0.0000000E+00
         1     2      6  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.6524995E-05 -0.7777778E-04
         1     2      7 -0.6210358E-03 -0.3039867E-03  0.0000000E+00  0.0000000E+00 -0.3692988E-08  0.0000000E+00
         1     2      8  0.0000000E+00  0.0000000E+00 -0.4925509E-03  0.2814333E-03 -0.3366732E-08  0.0000000E+00
         1     2      9  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.4660624E-05 -0.5555556E-04
         1     2     10 -0.3726215E-03 -0.1823920E-03  0.0000000E+00  0.0000000E+00 -0.1329476E-08  0.0000000E+00
         1     2     11  0.0000000E+00  0.0000000E+00 -0.2955305E-03  0.1688600E-03 -0.1212023E-08  0.0000000E+00
         1     2     12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.2796322E-05 -0.3333333E-04
         1     2     13 -0.1242072E-03 -0.6079733E-04  0.0000000E+00  0.0000000E+00 -0.1477195E-09  0.0000000E+00
         1     2     14  0.0000000E+00  0.0000000E+00 -0.9851018E-04  0.5628666E-04 -0.1346693E-09  0.0000000E+00
         1     2     15  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.9320897E-06 -0.1111111E-04
         1     2     16  0.1242072E-03  0.6079733E-04  0.0000000E+00  0.0000000E+00 -0.1477195E-09  0.0000000E+00
         1     2     17  0.0000000E+00  0.0000000E+00  0.9851018E-04 -0.5628666E-04 -0.1346693E-09  0.0000000E+00
         1     2     18  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9320722E-06  0.1111111E-04
         1     2     19  0.3726215E-03  0.1823920E-03  0.0000000E+00  0.0000000E+00 -0.1329476E-08  0.0000000E+00
         1     2     20  0.0000000E+00  0.0000000E+00  0.2955305E-03 -0.1688600E-03 -0.1212023E-08  0.0000000E+00
         1     2     21  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2796164E-05  0.3333333E-04
         1     2     22  0.6210358E-03  0.3039867E-03  0.0000000E+00  0.0000000E+00 -0.3692988E-08  0.0000000E+00
         1     2     23  0.0000000E+00  0.0000000E+00  0.4925509E-03 -0.2814333E-03 -0.3366732E-08  0.0000000E+00
         1     2     24  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.4660186E-05  0.5555556E-04
         1     2     25  0.8694502E-03  0.4255813E-03  0.0000000E+00  0.0000000E+00 -0.7238256E-08  0.0000000E+00
         1     2     26  0.0000000E+00  0.0000000E+00  0.6895712E-03 -0.3940067E-03 -0.6598795E-08  0.0000000E+00
         1     2     27  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.6524138E-05  0.7777778E-04
         1     2     28  0.1117864E-02  0.5471760E-03  0.0000000E+00  0.0000000E+00 -0.1196528E-07  0.0000000E+00
         1     2     29  0.0000000E+00  0.0000000E+00  0.8865916E-03 -0.5065800E-03 -0.1090821E-07  0.0000000E+00
         1     2     30  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.8388021E-05  0.1000000E-03

         1     3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     3      1 -0.1189356E-02 -0.5471760E-03  0.0000000E+00  0.0000000E+00 -0.2297530E-07  0.0000000E+00
         1     3      2  0.0000000E+00  0.0000000E+00 -0.8204039E-03  0.5065800E-03 -0.2034513E-07  0.0000000E+00
         1     3      3  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1088586E-04 -0.1000000E-03
         1     3      4 -0.9250549E-03 -0.4255813E-03  0.0000000E+00  0.0000000E+00 -0.1389864E-07  0.0000000E+00
         1     3      5  0.0000000E+00  0.0000000E+00 -0.6380919E-03  0.3940067E-03 -0.1230755E-07  0.0000000E+00
         1     3      6  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.8466623E-05 -0.7777778E-04
         1     3      7 -0.6607535E-03 -0.3039867E-03  0.0000000E+00  0.0000000E+00 -0.7091143E-08  0.0000000E+00
         1     3      8  0.0000000E+00  0.0000000E+00 -0.4557799E-03  0.2814333E-03 -0.6279361E-08  0.0000000E+00
         1     3      9  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.6047474E-05 -0.5555556E-04
         1     3     10 -0.3964521E-03 -0.1823920E-03  0.0000000E+00  0.0000000E+00 -0.2552811E-08  0.0000000E+00
         1     3     11  0.0000000E+00  0.0000000E+00 -0.2734680E-03  0.1688600E-03 -0.2260570E-08  0.0000000E+00
         1     3     12  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.3628416E-05 -0.3333333E-04
         1     3     13 -0.1321507E-03 -0.6079733E-04  0.0000000E+00  0.0000000E+00 -0.2836457E-09  0.0000000E+00
         1     3     14  0.0000000E+00  0.0000000E+00 -0.9115599E-04  0.5628666E-04 -0.2511744E-09  0.0000000E+00
         1     3     15  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1209449E-05 -0.1111111E-04
         1     3     16  0.1321507E-03  0.6079733E-04  0.0000000E+00  0.0000000E+00 -0.2836457E-09  0.0000000E+00
         1     3     17  0.0000000E+00  0.0000000E+00  0.9115599E-04 -0.5628666E-04 -0.2511744E-09  0.0000000E+00
         1     3     18  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1209427E-05  0.1111111E-04
         1     3     19  0.3964521E-03  0.1823920E-03  0.0000000E+00  0.0000000E+00 -0.2552811E-08  0.0000000E+00
         1     3     20  0.0000000E+00  0.0000000E+00  0.2734680E-03 -0.1688600E-03 -0.2260570E-08  0.0000000E+00
         1     3     21  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3628212E-05  0.3333333E-04
         1     3     22  0.6607535E-03  0.3039867E-03  0.0000000E+00  0.0000000E+00 -0.7091143E-08  0.0000000E+00
         1     3     23  0.0000000E+00  0.0000000E+00  0.4557799E-03 -0.2814333E-03 -0.6279361E-08  0.0000000E+00
         1     3     24  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.6046907E-05  0.5555556E-04
         1     3     25  0.9250549E-03  0.4255813E-03  0.0000000E+00  0.0000000E+00 -0.1389864E-07  0.0000000E+00
         1     3     26  0.0000000E+00  0.0000000E+00  0.6380919E-03 -0.3940067E-03 -0.1230755E-07  0.0000000E+00
         1     3     27  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.8465511E-05  0.7777778E-04
         1     3     28  0.1189356E-02  0.5471760E-03  0.0000000E+00  0.0000000E+00 -0.2297530E-07  0.0000000E+00
         1     3     29  0.0000000E+00  0.0000000E+00  0.8204039E-03 -0.5065800E-03 -0.2034513E-07  0.0000000E+00
         1     3     30  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1088402E-04  0.1000000E-03

         1     4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1     4      1 -0.1829082E-02 -0.5416803E-03  0.0000000E+00  0.0000000E+00  0.5550146E-04  0.0000000E+00
         1     4      2 -0.4930869E-08 -0.8391972E-08 -0.2253142E-03  0.5065800E-03 -0.1051313E-06  0.0000000E+00
         1     4      3 -0.2163336E-05 -0.3681630E-05  0.0000000E+00  0.0000000E+00 -0.3330449E-04 -0.1000000E-03
         1     4      4 -0.1422627E-02 -0.4213052E-03  0.0000000E+00  0.0000000E+00  0.4318886E-04  0.0000000E+00
         1     4      5 -0.2982872E-08 -0.5076625E-08 -0.1752444E-03  0.3940067E-03 -0.6359796E-07  0.0000000E+00
         1     4      6 -0.1682567E-05 -0.2863479E-05  0.0000000E+00  0.0000000E+00 -0.2590301E-04 -0.7777778E-04
         1     4      7 -0.1016168E-02 -0.3009311E-03  0.0000000E+00  0.0000000E+00  0.3086424E-04  0.0000000E+00
         1     4      8 -0.1521873E-08 -0.2590115E-08 -0.1251746E-03  0.2814333E-03 -0.3244794E-07  0.0000000E+00
         1     4      9 -0.1201814E-05 -0.2045334E-05  0.0000000E+00  0.0000000E+00 -0.1850180E-04 -0.5555556E-04
         1     4     10 -0.6097045E-03 -0.1805579E-03  0.0000000E+00  0.0000000E+00  0.1852757E-04  0.0000000E+00
         1     4     11 -0.5478743E-09 -0.9324413E-09 -0.7510475E-04  0.1688600E-03 -0.1168126E-07  0.0000000E+00
