I ETA1 quadKx quadKy quadKz
 1.000000000000000 0.9481320298733649 0.1360908673429290E-002 0.3284733042069437E-002 0.7606336070282669E-002
 2.000000000000000 0.9525939194625512 0.1405626848002917E-002 0.3079217192006568E-002 0.7620450549056175E-002
 3.000000000000000 0.9570558091843451 0.1450345023922782E-002 0.2873701336424616E-002 0.7634565202514909E-002
 4.000000000000000 0.9615176993384074 0.1495063204188769E-002 0.2668185461493363E-002 0.7648679770350332E-002
 5.000000000000000 0.9659795890584386 0.1539781380103024E-002 0.2462669606497163E-002 0.7662793892672511E-002
 6.000000000000000 0.9704414787979723 0.1584499556208744E-002 0.2257153750433529E-002 0.7676908903147660E-002
 7.000000000000000 0.9749033685572519 0.1629217732517817E-002 0.2051637893631570E-002 0.7691023469637241E-002
 8.000000000000000 0.9793652583072014 0.1673935908722292E-002 0.1846122036864874E-002 0.7705138036101744E-002
 9.000000000000000 0.9838271480755053 0.1718654085111522E-002 0.1640606179310229E-002 0.7719252602622074E-002
 10.00000000000000 0.9882890378033162 0.1763372261099711E-002 0.1435090323788978E-002 0.7733367169014120E-002
