I SGx1 SGy1 EB1 CHROM_X CHROM_Y ALPHA0 ALPHA1
 1.000000000000000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -16.87841708058637 -16.56218264166625 0.1904103030968972E-001 0.9297338033591689E-001
 2.000000000000000 0.0000000000000000E+000 -.1000000000000000E-002 0.0000000000000000E+000 -17.44288968871395 -14.04171642985973 0.1904103030968972E-001 0.9743526992510336E-001
 3.000000000000000 0.0000000000000000E+000 -.2000000000000000E-002 0.0000000000000000E+000 -18.00736231383096 -11.52125015030388 0.1904103030968972E-001 0.1018971596468971
 4.000000000000000 0.0000000000000000E+000 -.3000000000000000E-002 0.0000000000000000E+000 -18.57183499380871 -9.000783633395939 0.1904103030968972E-001 0.1063590498009595
 5.000000000000000 0.0000000000000000E+000 -.4000000000000000E-002 0.0000000000000000E+000 -19.13630761885836 -6.480317360980612 0.1904103030968972E-001 0.1108209395209907
 6.000000000000000 0.0000000000000000E+000 -.5000000000000000E-002 0.0000000000000000E+000 -19.70078024631715 -3.959851075472587 0.1904103030968972E-001 0.1152828292605243
 7.000000000000000 0.0000000000000000E+000 -.6000000000000000E-002 0.0000000000000000E+000 -20.26525287634987 -1.439384780912365 0.1904103030968972E-001 0.1197447190198039
 8.000000000000000 0.0000000000000000E+000 -.7000000000000000E-002 0.0000000000000000E+000 -20.82972550505400  1.081081513174802 0.1904103030968972E-001 0.1242066087697535
 9.000000000000000 0.0000000000000000E+000 -.8000000000000000E-002 0.0000000000000000E+000 -21.39419813610066  3.601547816939109 0.1904103030968972E-001 0.1286684985380574
 10.00000000000000 0.0000000000000000E+000 -.9000000000000001E-002 0.0000000000000000E+000 -21.95867076207690  6.122014095769925 0.1904103030968972E-001 0.1331303882658683
