I CONS(MU) SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 0.1612785556808832 0.3284733041120091E-008 0.1313893216448037E-007 0.2956259737008082E-007
 2.000000000000000 0.1612785556808832 0.3079217186785499E-008 0.1231686877489757E-007 0.2771295473658064E-007
 3.000000000000000 0.1612785556808832 0.2873701332450906E-008 0.1149480535755920E-007 0.2586331201981373E-007
 4.000000000000000 0.1612785556808832 0.2668185450360738E-008 0.1067274185695410E-007 0.2401366916426895E-007
 5.000000000000000 0.1612785556808832 0.2462669596026146E-008 0.9850678439615734E-008 0.2216402644750204E-007
 6.000000000000000 0.1612785556808832 0.2257153741691553E-008 0.9028614994521789E-008 0.2031438375849071E-007
 7.000000000000000 0.1612785556808832 0.2051637887356961E-008 0.8206551577183419E-008 0.1846474104172380E-007
 8.000000000000000 0.1612785556808832 0.1846122033022368E-008 0.7384488159845048E-008 0.1661509832495689E-007
 9.000000000000000 0.1612785556808832 0.1640606178687776E-008 0.6562424714751103E-008 0.1476545560818998E-007
 10.00000000000000 0.1612785556808832 0.1435090324353183E-008 0.5740361297412733E-008 0.1291581291917865E-007
