# lat_file                   = "/home/bell/GIT_PROJECTS/Nuclotron/BMAD/lattices/Nuclotron_16.bmad"
# quad_mask                  = ""
# Q_a0                       =   3.5000E-01
# Q_a1                       =   4.5000E-01
# dQ_a                       =   1.0000E-02
# a0_amp                     =   1.0000E+00
# Q_b0                       =   2.3000E-01
# Q_b1                       =   3.3000E-01
# dQ_b                       =   1.0000E-02
# b0_amp                     =   1.0000E+00
# pz0                        =  -5.0000E-03
# pz1                        =   5.0000E-03
# dpz                        =   2.5000E-03
# a_emit                     =   1.0000E-06
# b_emit                     =   1.0000E-06
# sig_pz                     =   0.0000E+00
# na_max                     =       10
# nb_max                     =       10
# nz_max                     =        4
# n_turn                     =     1000
# sigma_a                    =   1.0738E-03  # Used in calculation
# sigma_b                    =   3.4279E-03  # Used in calculation
# sigma_pz                   =   4.9420E-04  # Used in calculation
# emittance_a                =   1.0000E-06  # Used in calculation
# emittance_b                =   1.0000E-06  # Used in calculation
# radiation_damping_on       =    F
# radiation_fluctuations_on  =    F
# rf_on                      =    F
# use_phase_trombone         =    F
#-  ja    jb    jz       Q_a       Q_b        pz  data_turns    Amp_a_rms    Amp_b_rms    Amp_z_rms    Amp_a_max    Amp_b_max    Amp_z_max
     0     0     0   0.35000   0.23000  -0.00500        1000   6.7180E-02   3.1790E-02   0.0000E+00   1.0084E+00   1.0031E+00   0.0000E+00
     1     0     0   0.36000   0.23000  -0.00500        1000   6.5333E-02   3.1793E-02   0.0000E+00   1.0084E+00   1.0032E+00   0.0000E+00
     2     0     0   0.37000   0.23000  -0.00500        1000   6.3601E-02   3.1795E-02   0.0000E+00   1.0084E+00   1.0033E+00   0.0000E+00
     3     0     0   0.38000   0.23000  -0.00500        1000   6.2050E-02   3.1798E-02   0.0000E+00   1.0084E+00   1.0034E+00   0.0000E+00
     4     0     0   0.39000   0.23000  -0.00500        1000   6.0627E-02   3.1801E-02   0.0000E+00   1.0084E+00   1.0034E+00   0.0000E+00
     5     0     0   0.40000   0.23000  -0.00500        1000   5.9297E-02   3.1802E-02   0.0000E+00   1.0085E+00   1.0035E+00   0.0000E+00
     6     0     0   0.41000   0.23000  -0.00500        1000   5.8066E-02   3.1806E-02   0.0000E+00   1.0082E+00   1.0036E+00   0.0000E+00
     7     0     0   0.42000   0.23000  -0.00500        1000   5.6929E-02   3.1806E-02   0.0000E+00   1.0083E+00   1.0037E+00   0.0000E+00
     8     0     0   0.43000   0.23000  -0.00500        1000   5.5846E-02   3.1807E-02   0.0000E+00   1.0086E+00   1.0037E+00   0.0000E+00
     9     0     0   0.44000   0.23000  -0.00500        1000   5.4824E-02   3.1808E-02   0.0000E+00   1.0086E+00   1.0038E+00   0.0000E+00
    10     0     0   0.45000   0.23000  -0.00500        1000   5.3946E-02   3.1808E-02   0.0000E+00   1.0085E+00   1.0038E+00   0.0000E+00
     0     1     0   0.35000   0.24000  -0.00500        1000   6.7169E-02   3.1790E-02   0.0000E+00   1.0084E+00   1.0031E+00   0.0000E+00
     1     1     0   0.36000   0.24000  -0.00500        1000   6.5343E-02   3.1792E-02   0.0000E+00   1.0083E+00   1.0032E+00   0.0000E+00
     2     1     0   0.37000   0.24000  -0.00500        1000   6.3593E-02   3.1795E-02   0.0000E+00   1.0084E+00   1.0033E+00   0.0000E+00
     3     1     0   0.38000   0.24000  -0.00500        1000   6.2044E-02   3.1798E-02   0.0000E+00   1.0085E+00   1.0034E+00   0.0000E+00
     4     1     0   0.39000   0.24000  -0.00500        1000   6.0622E-02   3.1800E-02   0.0000E+00   1.0084E+00   1.0035E+00   0.0000E+00
     5     1     0   0.40000   0.24000  -0.00500        1000   5.9290E-02   3.1802E-02   0.0000E+00   1.0082E+00   1.0035E+00   0.0000E+00
     6     1     0   0.41000   0.24000  -0.00500        1000   5.8065E-02   3.1804E-02   0.0000E+00   1.0085E+00   1.0036E+00   0.0000E+00
     7     1     0   0.42000   0.24000  -0.00500        1000   5.6919E-02   3.1806E-02   0.0000E+00   1.0086E+00   1.0037E+00   0.0000E+00
     8     1     0   0.43000   0.24000  -0.00500        1000   5.5834E-02   3.1809E-02   0.0000E+00   1.0086E+00   1.0038E+00   0.0000E+00
     9     1     0   0.44000   0.24000  -0.00500        1000   5.4817E-02   3.1812E-02   0.0000E+00   1.0086E+00   1.0038E+00   0.0000E+00
    10     1     0   0.45000   0.24000  -0.00500        1000   5.3944E-02   3.1813E-02   0.0000E+00   1.0084E+00   1.0039E+00   0.0000E+00
     0     2     0   0.35000   0.25000  -0.00500        1000   6.7161E-02   3.1790E-02   0.0000E+00   1.0084E+00   1.0031E+00   0.0000E+00
     1     2     0   0.36000   0.25000  -0.00500        1000   6.5346E-02   3.1794E-02   0.0000E+00   1.0085E+00   1.0033E+00   0.0000E+00
     2     2     0   0.37000   0.25000  -0.00500        1000   6.3582E-02   3.1797E-02   0.0000E+00   1.0085E+00   1.0033E+00   0.0000E+00
     3     2     0   0.38000   0.25000  -0.00500        1000   6.2036E-02   3.1799E-02   0.0000E+00   1.0083E+00   1.0034E+00   0.0000E+00
     4     2     0   0.39000   0.25000  -0.00500        1000   6.0608E-02   3.1801E-02   0.0000E+00   1.0085E+00   1.0035E+00   0.0000E+00
     5     2     0   0.40000   0.25000  -0.00500        1000   5.9292E-02   3.1804E-02   0.0000E+00   1.0086E+00   1.0036E+00   0.0000E+00
     6     2     0   0.41000   0.25000  -0.00500        1000   5.8059E-02   3.1805E-02   0.0000E+00   1.0085E+00   1.0037E+00   0.0000E+00
